,brand_name,shirt_name,price,percentageoff,flipkart_assured,deal
160,UrGear,Men Printed Round Neck Cotton Blend Light Green T-Shirt,₹212,78% off,,
161,Glitchez,Men Regular Fit Striped Casual Shirt,₹646,61% off,,Only few left
162,GARBLY,Men Colorblock Henley Neck Polyester Multicolor T-Shirt,₹258,80% off,,
163,ENITOR,Men Printed Round Neck Cotton Blend Dark Green T-Shirt,₹252,83% off,,Only few left
164,Garmin,Men Graphic Print Round Neck Pure Cotton Black T-Shirt,₹260,79% off,,Only few left
165,SCOTT FINCHER,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹246,84% off,,
166,JACKBELLA,Men Regular Fit Self Design Spread Collar Casual Shirt,₹278,81% off,,Hot Deal
167,Fabfashion,Men Printed Round Neck Cotton Blend Purple T-Shirt,₹203,79% off,,Only few left
168,Magneto,Men Self Design Round Neck Pure Cotton Light Green T-Sh...,₹262,79% off,,Hot Deal
169,NEW-18,Men Regular Fit Printed Slim Collar Casual Shirt,₹440,84% off,,Only few left
170,AUSK,"Men Printed Polo Neck Cotton Blend Brown, White T-Shirt",₹238,84% off,,Only few left
171,METRONAUT,Men Regular Fit Solid Spread Collar Casual Shirt,₹276,80% off,,Hot Deal
172,UrGear,Men Printed Round Neck Cotton Blend Black T-Shirt,₹192,80% off,,Hot Deal
173,Smartees,Men Printed Round Neck Cotton Blend Black T-Shirt,₹299,81% off,,Only few left
174,HADAR,Men Graphic Print Round Neck Cotton Blend Black T-Shirt,₹236,88% off,,Only few left
175,JACKBELLA,Men Regular Fit Self Design Spread Collar Casual Shirt,₹265,82% off,,Hot Deal
176,COMBRAIDED,Men Regular Fit Self Design Cut Away Collar Casual Shir...,₹258,82% off,,Hot Deal
177,Glitchez,Men Relaxed Fit Fit Self Design Casual Shirt,₹756,65% off,,Only few left
178,dos hermanos,Men Printed Round Neck Cotton Blend Brown T-Shirt,₹236,81% off,,Only few left
179,Garmin,Men Graphic Print Round Neck Pure Cotton Black T-Shirt,₹252,80% off,,Hot Deal
180,Cool Plus,Men Printed Round Neck Cotton Blend Blue T-Shirt,₹327,67% off,,Hot Deal
181,Glitchez,Men Regular Fit Printed Casual Shirt,₹549,72% off,,Only few left
182,Force,Men Printed Round Neck Cotton Blend Black T-Shirt,₹222,88% off,,Hot Deal
183,UrGear,Men Solid Round Neck Cotton Blend Black T-Shirt,₹173,85% off,,Only few left
184,UrGear,Men Typography Round Neck Cotton Blend Black T-Shirt,₹219,78% off,,
185,SEIZN,"Men Printed Round Neck Cotton Blend Green, White T-Shir...",₹163,83% off,,Hot Deal
186,BEWAKOOF,Black Panther Men Graphic Print Round Neck Pure Cotton ...,₹699,46% off,,"Buy 2 items, save extra 5%"
187,Jai Textiles,Men Slim Fit Checkered Mandarin Collar Casual Shirt,₹333,82% off,,Hot Deal
188,TripBroz,Men Printed Round Neck Cotton Blend Light Blue T-Shirt,₹212,85% off,,Hot Deal
189,U TURN,Men Slim Fit Checkered Spread Collar Casual Shirt,₹360,81% off,,Hot Deal
190,Wayup,Men Solid Round Neck Cotton Blend Black T-Shirt,₹247,75% off,,Hot Deal
191,HouseOfCommon,Men Solid Polo Neck Cotton Blend Beige T-Shirt,₹307,76% off,,Hot Deal
192,RODEIZ,Men Slim Fit Striped Spread Collar Casual Shirt,₹260,82% off,,
193,CAMPUS SUTRA,Men Regular Fit Checkered Spread Collar Casual Shirt,₹479,70% off,,Hot Deal
194,LGR FASHION,Men Printed Round Neck Cotton Blend Maroon T-Shirt,₹202,89% off,,Only few left
195,TripBroz,Men Printed Round Neck Cotton Blend Red T-Shirt,₹198,86% off,,Hot Deal
196,Leotude,Men Printed Round Neck Cotton Blend Brown T-Shirt,₹299,72% off,,
197,COMBRAIDED,Men Regular Fit Self Design Cut Away Collar Casual Shir...,₹258,87% off,,Hot Deal
198,AUSK,Men Printed Round Neck Cotton Blend Grey T-Shirt,₹238,84% off,,Hot Deal
199,TECHNOSPORT,Men Printed Crew Neck Polyester Grey T-Shirt,₹414,9% off,,"Buy 2 items, save extra 5%"
200,NAUGHTY MEN,Men Printed Round Neck Pure Cotton Multicolor T-Shirt,₹275,81% off,,Hot Deal
201,Leotude,Men Printed Round Neck Cotton Blend Brown T-Shirt,₹299,72% off,,
202,UrGear,Men Printed Round Neck Cotton Blend Light Green T-Shirt,₹212,78% off,,
203,TECHNOSPORT,Men Printed Crew Neck Polyester Grey T-Shirt,₹414,9% off,,"Buy 2 items, save extra 5%"
204,COMBRAIDED,Men Regular Fit Self Design Cut Away Collar Casual Shir...,₹258,87% off,,Hot Deal
205,AUSK,Men Printed Round Neck Cotton Blend Grey T-Shirt,₹238,84% off,,Hot Deal
206,MANIAC,Oversized Men Typography Round Neck Pure Cotton Beige T...,₹420,74% off,,Hot Deal
207,RetroTees,Men Printed Round Neck Cotton Blend Maroon T-Shirt,₹212,88% off,,Hot Deal
208,SEIZN,"Men Printed Round Neck Cotton Blend Green, White T-Shir...",₹163,83% off,,Hot Deal
209,Crazybee - CB,Men Printed Round Neck Cotton Blend Black T-Shirt,₹233,76% off,,Only few left
